"","Date","Price","bing_score","nrc_score.x","Afinn_score.x","Price2"
"177",2011-03-02,5.45784784098698,-1,1,-2,42.9673944972094
"178",2011-03-03,5.11925976696368,0,0,-1,40.9842357779301
"179",2011-03-04,5.2960932145305,1,0,0,42.0199745422501
"180",2011-03-07,5.41535298149418,1,1,1,42.7184960344659
"181",2011-03-08,4.83139136394791,0,0,0,39.2981494174092
"182",2011-03-10,5.07128169979438,0,-1,0,40.7032213845099
"183",2011-03-11,5.07128169979438,0,1,-1,40.7032213845099
"184",2011-03-14,4.91775188485264,0,0,0,39.8039753255655
"185",2011-03-15,4.66552433173407,2,2,7,38.3266425144424
"186",2011-03-16,4.64496230294722,1,1,4,38.2062077744052
"187",2011-03-17,5.08636052090473,0,0,0,40.7915401938706
"188",2011-03-18,5.07950651130912,2,1,3,40.7513952805248
"189",2011-03-21,5.18779986291981,0,-1,3,41.3856849113875
"190",2011-03-22,5.28512679917752,0,2,0,41.9557426808969
"191",2011-03-23,5.28786840301577,0,0,0,41.9718006462352
"192",2011-03-28,5.32899246058945,2,0,4,42.2126701263096
"193",2011-03-30,5.24674434544208,0,0,0,41.7309311661608
"194",2011-03-31,5.46470185058259,0,0,0,43.0075394105552
"195",2011-04-01,5.69636737491433,1,-1,3,44.364437481641
"196",2011-04-12,6.06648389307745,0,1,2,46.5322628023108
"197",2011-04-19,6.0692254969157,0,0,0,46.5483207676491
"198",2011-04-25,6.0692254969157,0,0,0,46.5483207676491
"199",2011-04-29,6.0692254969157,0,0,0,46.5483207676491
"200",2011-05-03,6.43385880740233,0,0,0,48.6840301576422
"201",2011-05-09,4.95339273474983,0,0,0,40.0127288749633
"202",2011-05-13,4.93557230980124,-2,-2,2,39.9083521002644
"203",2011-05-16,5.02330363262509,5,1,12,40.4222069910898
"204",2011-05-17,4.42974640164496,-1,0,-2,36.9456574953491
"205",2011-05-19,4.95202193283071,0,0,0,40.0046998922941
"206",2011-05-20,4.68471555860178,1,2,1,38.4390482718104
"207",2011-05-23,4.53118574366004,3,0,11,37.539802212866
"208",2011-05-26,5.20699108978753,1,1,-1,41.4980906687555
"209",2011-05-27,5.17820424948595,1,1,10,41.3294820327034
"210",2011-06-01,5.3564084989719,0,1,3,42.3732497796926
"211",2011-06-02,5.1028101439342,0,0,0,40.8878879859003
"212",2011-06-06,5.2535983550377,0,1,0,41.7710760795065
"213",2011-06-07,5.35503769705278,0,0,0,42.3652207970234
"214",2011-06-09,5.87731322823852,1,0,3,45.4242631939685
"215",2011-06-14,5.93214530500343,1,1,0,45.7454225007343
"216",2011-06-16,5.15627141877999,1,2,-1,41.2010183099971
"217",2011-06-20,4.81631254283756,-1,0,0,39.2098306080486
"218",2011-06-21,4.79026730637423,4,1,7,39.0572799373348
"219",2011-06-23,4.27621658670322,0,3,0,36.0464114364046
"220",2011-06-24,3.79917751884853,0,-1,0,33.2523254675414
"221",2011-06-27,3.76901987662783,-1,0,1,33.0756878488201
"222",2011-07-01,4.48869088416724,2,4,9,37.2909037501224
"223",2011-07-05,4.95339273474983,2,2,6,40.0127288749633
"224",2011-07-06,5,-2,-1,-6,40.2857142857143
"225",2011-07-07,5.52775873886224,0,7,4,43.376872613336
"226",2011-07-08,5.52775873886224,-6,-4,-16,43.376872613336
"227",2011-07-11,5.52090472926662,2,0,0,43.3367276999902
"228",2011-07-12,5.52227553118574,2,4,2,43.3447566826594
"229",2011-07-13,5.67306374228924,-1,-1,-2,44.2279447762655
"230",2011-07-14,5.52501713502399,1,4,1,43.3608146479977
"231",2011-07-15,5.61823166552433,-1,2,-2,43.9067854694997
"232",2011-07-18,5.47978067169294,-2,7,4,43.0958582199158
"233",2011-07-19,5.63468128855381,-5,2,-7,44.0031332615294
"234",2011-07-20,5.68128855380398,-1,-1,-3,44.2761186722804
"235",2011-07-21,5.64427690198766,-1,-1,-2,44.0593361402135
"236",2011-07-22,5.74571624400274,0,-2,-2,44.6534808577303
"237",2011-07-25,5.64701850582591,0,-1,-3,44.0753941055517
"238",2011-07-26,5.62919808087731,-5,-4,-10,43.9710173308528
"239",2011-07-27,5.60863605209047,-2,-3,-9,43.8505825908156
"240",2011-07-28,5.63193968471556,-8,-4,-14,43.9870752961911
"241",2011-07-29,5.3262508567512,2,5,13,42.1966121609713
"242",2011-07-30,5.3262508567512,-2,0,-4,42.1966121609713
"243",2011-08-01,5.3865661411926,-3,1,-2,42.5498873984138
"244",2011-08-02,5.3385880740233,-4,2,-7,42.2688730049936
"245",2011-08-03,5.02604523646333,1,6,9,40.4382649564281
"246",2011-08-04,4.54352296093215,-2,2,-3,37.6120630568883
"247",2011-08-05,4.09115832762166,-2,-1,-1,34.9624987760697
"248",2011-08-08,3.5620287868403,-2,0,1,31.8633114657789
"249",2011-08-09,3.64016449623029,-3,2,-2,32.3209634779203
"250",2011-08-10,3.66895133653187,-4,0,-4,32.4895721139724
"251",2011-08-11,4.2145305003427,0,7,0,35.685107216293
"252",2011-08-12,4.262508567512,0,2,0,35.9661216097131
"253",2011-08-13,4.262508567512,0,3,8,35.9661216097131
"254",2011-08-15,4.36120630568883,0,2,2,36.5442083618917
"255",2011-08-16,4.47087045921865,2,1,4,37.1865269754235
"256",2011-08-17,4.70116518163126,-1,2,1,38.5353960638402
"257",2011-08-18,4.28855380397533,-2,0,-2,36.1186722804269
"258",2011-08-19,4.42700479780672,1,5,3,36.9295995300108
"259",2011-08-22,4.35298149417409,-2,1,-3,36.4960344658768
"260",2011-08-23,4.56134338588074,-3,-2,-6,37.7164398315872
"261",2011-08-24,4.77518848526388,0,-1,-3,38.9689611279742
"262",2011-08-25,4.77518848526388,-2,-1,-2,38.9689611279742
"263",2011-08-26,4.82727895819054,1,2,5,39.2740624694018
"264",2011-08-29,4.82727895819054,0,2,4,39.2740624694018
"265",2011-08-30,5.27964359150103,-1,-1,-1,41.9236267502203
"266",2011-08-31,5.40164496230295,-2,0,-4,42.6382062077744
"267",2011-09-01,5.39479095270734,-6,-3,-11,42.5980612944287
"268",2011-09-02,5.32488005483208,-1,1,-6,42.1885831783022
"269",2011-09-06,4.96435915010281,-2,2,-7,40.0769607363165
"270",2011-09-07,5.54146675805346,4,3,4,43.4571624400274
"271",2011-09-08,5.60863605209047,-1,4,3,43.8505825908156
"272",2011-09-09,5.21247429746402,1,1,2,41.5302065994321
"273",2011-09-12,5.16449623029472,3,5,4,41.249192206012
"274",2011-09-13,5.0726525017135,0,2,0,40.7112503671791
"275",2011-09-14,4.93831391363948,1,3,4,39.9244100656027
"276",2011-09-15,5.43317340644277,0,1,2,42.8228728091648
"277",2011-09-16,5.37148732008225,4,12,18,42.4615685890532
"278",2011-09-18,5.37148732008225,0,0,0,42.4615685890532
"279",2011-09-19,4.9095270733379,-3,1,-3,39.7558014295506
"280",2011-09-20,5.11514736120631,-1,3,-4,40.9601488299227
"281",2011-09-21,5.09732693625771,2,5,13,40.8557720552238
"282",2011-09-22,4.40507196710075,-2,-3,-8,36.8011358073044
"283",2011-09-23,4.39958875942427,1,1,2,36.7690198766278
"284",2011-09-26,4.22549691569568,-3,-4,-6,35.7493390776462
"285",2011-09-27,4.45030843043181,-2,-1,-2,37.0660922353863
"286",2011-09-28,4.31048663468129,0,3,13,36.2471360031333
"287",2011-09-29,4.11309115832762,0,7,1,35.0909624987761
"288",2011-09-30,3.88553803975326,0,2,-4,33.7581513756977
"289",2011-10-03,3.63742289239205,-2,-2,5,32.304905512582
"290",2011-10-04,3.39479095270733,1,-4,5,30.883775580143
"291",2011-10-05,3.65935572309801,0,2,0,32.4333692352884
"292",2011-10-06,3.7429746401645,-3,-2,-5,32.9231371781063
"293",2011-10-07,4.04180945853324,-4,-2,-4,34.6734553999804
"294",2011-10-11,4.40644276901988,-1,4,2,36.8091647899736
"295",2011-10-12,4.84784098697738,0,2,2,39.394497209439
"296",2011-10-13,4.84921178889651,0,-1,0,39.4025261921081
"297",2011-10-14,5.10692254969157,-4,-2,-9,40.9119749339078
"298",2011-10-15,5.10692254969157,0,0,0,40.9119749339078
"299",2011-10-16,5.10692254969157,2,1,4,40.9119749339078
"300",2011-10-17,4.91363947909527,1,0,0,39.779888377558
"301",2011-10-18,4.79849211788897,-2,0,-6,39.1054538333497
"302",2011-10-19,4.75462645647704,-3,-2,-4,38.848526387937
"303",2011-10-20,4.37628512679918,-5,-2,-8,36.6325271712523
"304",2011-10-21,4.73269362577108,-2,1,-1,38.7200626652306
"305",2011-10-24,4.74228923920494,-1,3,0,38.7762655439146
"306",2011-10-25,4.80260452364633,0,3,9,39.1295407813571
"307",2011-10-26,4.57230980123373,-3,-2,5,37.7806716929404
"308",2011-10-27,4.84921178889651,-2,-2,-2,39.4025261921081
"309",2011-10-28,4.51473612063057,-1,1,0,37.4434544208362
"310",2011-10-31,4.29814941740919,0,0,0,36.174875159111
"311",2011-11-01,4.09801233721727,-3,1,-8,35.0026436894155
"312",2011-11-02,4.62577107607951,-2,1,-3,38.0938020170371
"313",2011-11-04,4.81768334475668,0,-1,-2,39.2178595907177
"314",2011-11-08,5.28238519533928,-7,-8,-9,41.9396847155586
"315",2011-11-09,5.23851953392735,-3,5,-4,41.6827572701459
"316",2011-11-10,4.96847155586018,-4,-6,1,40.1010476843239
"317",2011-11-11,5.1206305688828,2,6,7,40.9922647605992
"318",2011-11-14,4.86566141192598,0,2,3,39.4988739841379
"319",2011-11-15,4.77381768334476,-3,0,-3,38.960932145305
"320",2011-11-16,4.77518848526388,0,-4,0,38.9689611279742
"321",2011-11-17,4.41055517477725,-4,-2,-4,36.833251737981
"322",2011-11-18,4.2145305003427,-3,-6,-10,35.685107216293
"323",2011-11-21,3.96230294722413,0,0,-5,34.2077744051699
"324",2011-11-22,4.20767649074709,0,2,0,35.6449623029472
"325",2011-11-23,4.07882111034956,2,6,5,34.8902379320474
"326",2011-11-28,4.42837559972584,1,-2,0,36.9376285126799
"327",2011-11-29,4.68471555860178,1,0,-3,38.4390482718104
"328",2011-11-30,4.68060315284441,-3,1,-3,38.414961323803
"329",2011-12-01,4.35298149417409,-6,1,-11,36.4960344658768
"330",2011-12-02,4.45716244002742,-1,10,-1,37.106237148732
"331",2011-12-05,4.53803975325566,-1,3,-5,37.5799471262117
"332",2011-12-06,4.53529814941741,0,5,6,37.5638891608734
"333",2011-12-07,4.52296093214531,-2,2,-2,37.4916283168511
"334",2011-12-08,4.27073337902673,13,17,26,36.014295505728
"335",2011-12-09,4.22686771761481,14,12,26,35.7573680603153
"336",2011-12-12,4.2145305003427,0,6,0,35.685107216293
"337",2011-12-13,4.41055517477725,-1,7,-8,36.833251737981
"338",2011-12-14,3.92666209732694,-4,9,2,33.9990208557721
"339",2011-12-15,3.76216586703221,-4,-3,3,33.0355429354744
"340",2011-12-16,3.69088416723783,-4,9,8,32.6180358366788
"341",2011-12-19,3.76627827278958,-2,1,-6,33.0596298834818
"342",2011-12-20,4.21178889650446,5,10,25,35.6690492509547
"343",2011-12-21,4.23920493488691,-3,8,3,35.8296289043376
"344",2011-12-22,4.37354352296093,0,7,9,36.616469205914
"345",2011-12-27,4.37354352296093,0,4,-17,36.616469205914
"346",2011-12-28,4.17614804660727,1,2,7,35.4602957015569
"347",2011-12-29,4.08704592186429,-7,3,-3,34.9384118280623
"348",2011-12-30,4.25154215215901,-6,-3,-4,35.9018897483599
"349",2012-01-03,4.66689513365319,-2,1,6,38.3346714971115
"350",2012-01-04,4.97532556545579,3,5,15,40.1411925976696
"351",2012-01-05,5.00548320767649,-3,1,0,40.3178302163909
"352",2012-01-06,4.78204249485949,6,9,7,39.0091060413199
"353",2012-01-09,4.66004112405757,-1,1,-10,38.2945265837658
"354",2012-01-10,4.96572995202193,7,14,18,40.0849897189856
"355",2012-01-11,4.74091843728581,3,6,-3,38.7682365612455
"356",2012-01-12,4.92049348869089,-5,0,-5,39.8200332909038
"357",2012-01-13,4.49691569568197,1,2,-3,37.3390776461373
"358",2012-01-16,4.49691569568197,1,-1,0,37.3390776461373
"359",2012-01-17,4.58875942426319,-3,3,4,37.8770194849701
"360",2012-01-18,4.48732008224812,-3,2,-2,37.2828747674533
"361",2012-01-19,4.45030843043181,4,4,15,37.0660922353863
"362",2012-01-20,4.30774503084304,-3,4,-4,36.231078037795
"363",2012-01-23,4.43934201507882,4,3,14,37.0018603740331
"364",2012-01-24,4.29129540781357,-1,2,-4,36.1347302457652
"365",2012-01-25,4.3050034270048,-4,3,-6,36.2150200724567
"366",2012-01-26,4.38725154215216,-5,1,-1,36.6967590326055
"367",2012-01-27,4.58190541466758,-2,2,-2,37.8368745716244
"368",2012-01-30,4.54626456477039,-1,3,2,37.6281210222266
"369",2012-01-31,4.54900616860864,-1,5,-2,37.6441789875649
"370",2012-02-01,4.78204249485949,3,-2,-3,39.0091060413199
"371",2012-02-02,4.64496230294722,2,2,2,38.2062077744052
"372",2012-02-03,4.86429061000686,0,-1,0,39.4908450014687
"373",2012-02-05,4.86429061000686,0,0,5,39.4908450014687
"374",2012-02-06,5.26319396847156,-1,3,-4,41.8272789581905
"375",2012-02-07,5.45373543522961,3,5,5,42.943307549202
"376",2012-02-08,5.49760109664154,2,12,4,43.2002349946147
"377",2012-02-09,5.66483893077451,7,10,18,44.1797708802507
"378",2012-02-10,5.62782727895819,-5,5,7,43.9629883481837
"379",2012-02-13,5.71007539410555,2,2,5,44.4447273083325
"380",2012-02-14,5.65113091158328,-3,0,-9,44.0994810535592
"381",2012-02-15,5.9184372858122,-5,10,13,45.6651326740429
"382",2012-02-16,6.0212474297464,7,5,10,46.2673063742289
"383",2012-02-17,5.9787525702536,-4,6,-3,46.0184079114854
"384",2012-02-21,6.00068540095956,-3,0,-7,46.1468716341917
