"","Date","Price","bing_score","nrc_score.x","Afinn_score.x","Price2"
"309",2013-04-26,3.47018505825908,-2,-1,-5,31.3253696269461
"310",2013-04-28,3.47018505825908,0,0,2,31.3253696269461
"311",2013-05-01,2.91501028101439,1,-1,3,28.0736316459415
"312",2013-05-02,3.18642906100069,-2,-2,-5,29.6633702144326
"313",2013-05-03,3.77313228238519,3,5,9,33.0997747968276
"314",2013-05-08,3.66209732693626,-6,-5,-9,32.4494272006267
"315",2013-05-09,3.63468128855381,1,-1,4,32.2888475472437
"316",2013-05-10,3.32213845099383,1,0,2,30.4582394986782
"317",2013-05-11,3.32213845099383,0,1,1,30.4582394986782
"318",2013-05-14,3.51267991775189,2,4,9,31.5742680896896
"319",2013-05-17,3.66758053461275,-4,-1,-8,32.4815431313033
"320",2013-05-19,3.66758053461275,-1,1,-1,32.4815431313033
"321",2013-05-24,3.31254283755997,2,3,1,30.4020366199941
"322",2013-05-25,3.31254283755997,-2,-2,-4,30.4020366199941
"323",2013-05-27,3.31254283755997,-1,-1,1,30.4020366199941
"324",2013-05-30,3.38793694311172,0,0,0,30.8436306667972
"325",2013-06-03,3.36600411240576,2,0,0,30.7151669440909
"326",2013-06-04,3.42220699108979,0,-1,0,31.0443552335259
"327",2013-06-05,3.62371487320083,0,1,3,32.2246156858905
"328",2013-06-10,3.67306374228924,1,2,0,32.5136590619798
"329",2013-06-11,3.34818368745716,4,5,12,30.610790169392
"330",2013-06-12,3.56888279643591,-5,1,-13,31.9034563791246
"331",2013-06-13,3.60589444825223,-1,0,0,32.1202389111916
"332",2013-06-14,3.84167237834133,-1,1,-1,33.5012239302849
"333",2013-06-15,3.84167237834133,-2,-3,-2,33.5012239302849
"334",2013-06-19,3.90472926662098,0,0,2,33.8705571330657
"335",2013-06-20,3.51542152159013,-1,0,1,31.5903260550279
"336",2013-06-24,3.11514736120631,0,-1,-2,29.2458631156369
"337",2013-06-25,3.34955448937629,0,3,2,30.6188191520611
"338",2013-06-27,3.51816312542837,0,0,2,31.6063840203662
"339",2013-07-01,3.5798492117889,-1,-1,-3,31.9676882404778
"340",2013-07-02,3.68540095956134,2,3,8,32.5859199060021
"341",2013-07-03,3.98149417409184,0,2,1,34.3201801625379
"342",2013-07-05,4.16518163125428,0,0,2,35.3960638402037
"343",2013-07-06,4.16518163125428,-2,-3,0,35.3960638402037
"344",2013-07-08,4.20493488690884,4,4,9,35.6289043376089
"345",2013-07-09,4.22549691569568,3,2,10,35.7493390776462
"346",2013-07-10,4.29814941740919,0,3,2,36.174875159111
"347",2013-07-13,4.29814941740919,-4,0,-3,36.174875159111
"348",2013-07-16,4.41603838245374,0,1,-1,36.8653676686576
"349",2013-07-17,4.4681288553804,1,3,6,37.1704690100852
"350",2013-07-18,4.47361206305689,1,1,5,37.2025849407618
"351",2013-07-19,4.42289239204935,-2,0,3,36.9055125820033
"352",2013-07-23,4.41329677861549,-5,-6,-9,36.8493097033193
"353",2013-07-24,4.27073337902673,-1,2,-4,36.014295505728
"354",2013-07-26,4.18026045236464,0,-1,-1,35.4843826495643
"355",2013-07-27,4.18026045236464,-2,-3,-4,35.4843826495643
"356",2013-07-31,4.22412611377656,0,3,-1,35.741310094977
"357",2013-08-02,4.46264564770391,4,3,9,37.1383530794086
"358",2013-08-07,4.2926662097327,4,1,5,36.1427592284344
"359",2013-08-08,4.14599040438657,2,0,12,35.2836580828356
"360",2013-08-11,4.14599040438657,0,1,0,35.2836580828356
"361",2013-08-12,4.41466758053461,2,1,7,36.8573386859885
"362",2013-08-13,4.60795065113091,-2,1,0,37.9894252423382
"363",2013-08-18,4.60795065113091,0,0,1,37.9894252423382
"364",2013-08-21,4.62577107607951,-3,-3,-1,38.0938020170371
"365",2013-08-22,4.58327621658671,0,0,2,37.8449035542936
"366",2013-08-28,5.37285812200137,0,3,2,42.4695975717223
"367",2013-08-29,5.46058944482522,0,1,0,42.9834524625477
"368",2013-08-30,5.33173406442769,-3,0,-8,42.2287280916479
"369",2013-08-31,5.33173406442769,-1,-2,-7,42.2287280916479
"370",2013-09-01,5.33173406442769,0,0,-2,42.2287280916479
"371",2013-09-02,5.33173406442769,-1,3,-3,42.2287280916479
"372",2013-09-03,5.2659355723098,-1,1,1,41.8433369235288
"373",2013-09-05,5.30980123372173,-4,0,-7,42.1002643689416
"374",2013-09-07,5.30980123372173,-4,-4,-7,42.1002643689416
"375",2013-09-09,5.22618231665524,1,2,1,41.6104964261236
"376",2013-09-11,4.83824537354353,0,2,2,39.3382943307549
"377",2013-09-12,4.9396847155586,-3,-1,-3,39.9324390482718
"378",2013-09-13,4.96710075394106,-1,1,-4,40.0930187016548
"379",2013-09-16,4.631254283756,3,1,12,38.1259179477137
"380",2013-09-20,4.54352296093215,0,7,-3,37.6120630568883
"381",2013-09-22,4.54352296093215,0,-1,1,37.6120630568883
"382",2013-09-23,4.31596984235778,1,1,4,36.2792519338099
"383",2013-09-24,4.19533927347499,2,2,5,35.5727014589249
"384",2013-09-25,4.43934201507882,-1,0,2,37.0018603740331
"385",2013-09-26,4.35709389993146,3,5,9,36.5201214138843
"386",2013-09-27,4.4379712131597,1,5,4,36.993831391364
"387",2013-09-30,4.21864290610007,-2,-1,0,35.7091941643004
"388",2013-10-01,4.14599040438657,1,2,0,35.2836580828356
"389",2013-10-02,4.38862234407128,0,-2,0,36.7047880152747
"390",2013-10-03,4.44345442083619,0,-2,-2,37.0259473220405
"391",2013-10-04,4.43385880740233,1,1,2,36.9697444433565
"392",2013-10-07,4.46675805346128,2,1,0,37.1624400274161
"393",2013-10-08,4.59013022618232,-1,-3,-7,37.8850484676393
"394",2013-10-11,4.60246744345442,3,2,11,37.9573093116616
"395",2013-10-14,4.53118574366004,3,4,6,37.539802212866
