"","Date","Price","Text","bing_score","nrc_score","afin_score"
"73",2017-01-31,55.25,"nancy pelosi and fake tears chuck schumer held a rally at the steps of the supreme court and mic did not work a mess just like dem party ",-1,-1,-5
"74",2017-02-01,55.79,"hope you like my nomination of judge neil gorsuch for the united states supreme court he is a good and brilliant man respected by all ",2,6,14
"75",2017-02-01,55.79,"everybody is arguing whether or not it is a ban call it what you want it is about keeping bad people with bad intentions out of country ",-2,-2,-4
"76",2017-02-01,55.79,"join me live from the whitehouse  t co lhos naagl",0,1,1
"77",2017-02-02,55.94,"iran is rapidly taking over more and more of iraq even after the u s has squandered three trillion dollars there obvious long ago ",0,1,0
"78",2017-02-02,55.94,"iran was on its last legs and ready to collapse until the u s came along and gave it a life line in the form of the iran deal billion",0,0,-2
"79",2017-02-02,55.94,"iran has been formally put on notice for firing a ballistic missile should have been thankful for the terrible deal the u s made with them ",0,1,-3
"80",2017-02-02,55.94,"thank you samsung we would love to have you  t co r nxc ooa ",1,1,5
"81",2017-02-02,55.94,"do you believe it the obama administration agreed to take thousands of illegal immigrants from australia why i will study this dumb deal ",-2,1,-5
"82",2017-02-02,55.94,"if u c berkeley does not allow free speech and practices violence on innocent people with a different point of view no federal funds ",1,1,-2
"83",2017-02-02,55.94,"attending chief ryan owens dignified transfer yesterday with my daughter ivanka was my great honor to a great and brave man thank you ",3,3,9
"84",2017-02-02,55.94,"congratulations to rex tillerson on being sworn in as our new secretary of state he will be a star ",1,1,2
"85",2017-02-03,55.92,"we must keep evil out of our country ",-1,-1,-3
"86",2017-02-03,55.92,"meeting with biggest business leaders this morning good jobs are coming back to u s health care and tax bills are being crafted now ",0,0,5
"87",2017-02-03,55.92,"yes arnold schwarzenegger did a really bad job as governor of california and even worse on the apprentice but at least he tried hard ",-3,-1,-6
"88",2017-02-03,55.92,"a new radical islamic terrorist has just attacked in louvre museum in paris tourists were locked down france on edge again get smart u s ",0,-1,0
"89",2017-02-03,55.92,"iran is playing with fire they don t appreciate how kind president obama was to them not me ",0,3,2
"90",2017-02-03,55.92,"thank you to prime minister of australia for telling the truth about our very civil conversation that fake news media lied about very nice ",-1,2,0
"91",2017-02-03,55.92,"professional anarchists thugs and paid protesters are proving the point of the millions of people who voted to make america great again ",1,1,1
"92",2017-02-04,55.92,"because the ban was lifted by a judge many very bad and dangerous people may be pouring into our country a terrible decision",-3,-4,-8
"93",2017-02-04,55.92,"what is our country coming to when a judge can halt a homeland security travel ban and anyone even with bad intentions can come into u s ",-1,-2,-5
"94",2017-02-04,55.92,"make america great again ",0,0,3
"95",2017-02-04,55.92,"after being forced to apologize for its bad and inaccurate coverage of me after winning the election the fake news nytimes is still lost ",-3,-3,-7
"96",2017-02-04,55.92,"the opinion of this so called judge which essentially takes law enforcement away from our country is ridiculous and will be overturned ",-1,-2,-3
"97",2017-02-04,55.92,"interesting that certain middle eastern countries agree with the ban they know if certain people are allowed in it s death amp destruction ",-2,-1,-3
"98",2017-02-04,55.92,"when a country is no longer able to say who can and who cannot come in amp out especially for reasons of safety amp security big trouble ",-1,0,-1
"99",2017-02-04,55.92,"countries charge u s companies taxes or tariffs while the u s charges them nothing or little we should charge them same as they charge us ",0,0,-2
"100",2017-02-04,55.92,"interview with oreillyfactor on fox network p m prior to super bowl enjoy ",2,1,5
"101",2017-02-04,55.92,"why aren t the lawyers looking at and using the federal court decision in boston which is at conflict with ridiculous lift ban decision ",-2,-3,-7
"102",2017-02-04,55.92,"the judge opens up our country to potential terrorists and others that do not have our best interests at heart bad people are very happy ",0,0,4
"103",2017-02-05,55.92,"just cannot believe a judge would put our country in such peril if something happens blame him and court system people pouring in bad ",-3,-3,-7
"104",2017-02-05,55.92,"enjoy the superbowl and then we continue make america great again ",1,2,5
"105",2017-02-05,55.92,"i will be interviewed by oreillyfactor at p m prior to the superbowl pre game show on fox network enjoy ",1,1,2
"106",2017-02-05,55.92,"i have instructed homeland security to check people coming into our country very carefully the courts are making the job very difficult ",-1,2,1
"107",2017-02-06,55.02,"the failing nytimes writes total fiction concerning me they have gotten it wrong for two years and now are making up stories amp sources ",-3,-2,-4
"108",2017-02-06,55.02,"i call my own shots largely based on an accumulation of data and everyone knows it some fake news media in order to marginalize lies ",-2,-1,-3
"109",2017-02-06,55.02,"an extended interview from the super bowl with oreillyfactor airs tonight at p m enjoy  t co kzdhqantvr",2,0,5
"110",2017-02-06,55.02,"what an amazing comeback and win by the patriots tom brady bob kraft and coach b are total winners wow ",4,0,12
"111",2017-02-06,55.02,"any negative polls are fake news just like the cnn abc nbc polls in the election sorry people want border security and extreme vetting ",-2,-2,-3
"112",2017-02-06,55.02,"will be interviewed on oreillyfactor tonight at p m ",0,0,0
